"FT","FileName","RN","TRN","Volume","Issue","Report No","Authors","Corporate Author","Title","Original Title","Publ Year","Pages","Language","Physical Description","Descriptors","Abstract"
"P","EFIME270","1004002.0","SU7000966","1.0","8.0","EFI--ME-2(70).","Avakyan, K.M.; Alikhanyan, A.I.; Garibyan, G.M.; Lorikyan, M.P.; Shikhlyarov, K.K. ","Erevanskij Fizicheskij Inst. (USSR).","Recording of transient x-ray radiation by spark chamber.","Registratsiya rentgenovskogo perekhodnogo izlucheniya s pomoshch'yu iskrovoj kamery.","1970.0","9 p. ","Russian"," 8 references.","NULL","NULL"
"P","EFITF672","4044185.0","SU7204938","4.0","5.0","EFI-TF--6(72).","Gol'dman, I.I.; Yan Shi.","Erevanskij Fizicheskij Inst. (USSR).","On the theory of strongly compressed matter.","K teorii sil'no szhatogo veshchestva.","1972.0","16 p. ","Russian","5 refs. ","BRILLOUIN ZONES; COMPRESSION; COULOMB ENERGY; CRYSTAL LATTICES; ELECTRONS; FERMI LEVEL; INTERACTIONS; NUCLEI.","NULL"
